Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\TM_RAD.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\SM.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\TM_RAD.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\SIP.llb
Tue Jan 01 17:34:52 Loaded file C:\PROJECTS\ORCAD\ZZL.LLB
Tue Jan 01 17:34:52 Loaded file C:\PROJECTS\ORCAD\ZZL.LLB
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\TO.llb
Tue Jan 01 17:34:52 Saved as file C:\PROJECTS\ORCAD\SWITCH\SWITCH.MAX
Tue Jan 01 17:34:52 Loaded file C:\PROJECTS\ORCAD\SWITCH\SWITCH.MAX
Tue Jan 01 17:35:06 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:35:06 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:35:06 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:35:06 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:35:08 Loaded file C:\PROJECTS\ORCAD\ZZL.LLB
Tue Jan 01 17:35:10 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:35:18 Saved as file C:\PROJECTS\ORCAD\SWITCH\SWITCH.MAX
Tue Jan 01 17:35:20 Saved as file C:\PROJECTS\ORCAD\SWITCH\SWITCH.MAX
Tue Jan 01 17:35:30 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:35:30 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:35:30 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:35:30 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:35:31 Loaded file C:\PROJECTS\ORCAD\ZZL.LLB
